#{"t_start": 1745150105.9935565, "env_id": "None"}
r,l,t
540.996289,1451,5.859014
648.780725,1451,15.485621
516.511008,1451,25.016746
558.524723,1451,30.903446
710.497079,1451,40.431554
721.220671,1451,50.160226
764.744849,1451,55.920228
690.68309,1451,65.856815
623.172742,1451,75.260397
497.33572,1451,84.772287
570.896461,1451,90.641001
563.579875,1451,100.218158
605.306333,1451,110.011548
782.891589,1451,115.970584
727.442919,1451,125.527938
498.880557,1451,135.000322
646.933542,1451,144.596976
386.373977,1451,150.385695
626.212284,1451,160.298999
741.178559,1451,169.66926
693.702383,1451,175.53603
609.546841,1451,185.10586
522.751166,1451,194.81766
611.365982,1451,204.243569
554.375614,1451,209.94895
534.090476,1451,219.596388
682.128714,1451,229.207534
569.611148,1451,234.897114
617.738758,1451,244.312488
668.755011,1451,254.038875
650.538608,1451,260.002984
551.495807,1451,269.520364
750.210453,1451,278.837978
767.072531,1451,288.330998
542.633562,1451,294.058669
864.269916,1451,303.449865
600.638076,1451,312.933937
631.514092,1451,318.490928
640.209344,1451,328.128882
766.26674,1451,337.63593
601.750082,1451,347.038553
525.875825,1451,352.868357
574.870442,1451,362.325566
669.804561,1451,371.801818
643.114394,1451,377.833268
400.074606,1451,387.459026
445.741065,1451,397.201192
621.684004,1451,406.66192
766.853176,1451,412.615448
812.669958,1451,421.890203
800.05393,1451,431.510746
637.654046,1451,437.60545
785.106213,1451,447.203634
569.361614,1451,456.768331
553.46622,1451,462.787387
610.334037,1451,472.457243
620.0225,1451,481.822299
667.748179,1451,491.31396
592.11947,1451,497.433482
380.338916,1451,506.876474
538.125304,1451,516.381252
641.293599,1451,522.367458
659.018663,1451,531.925191
436.966771,1451,541.558749
665.867069,1451,551.25432
449.890539,1451,557.374722
598.080645,1451,566.807008
639.980584,1451,576.37409
633.206592,1451,582.169753
739.69691,1451,591.726627
599.23631,1451,600.923651
550.358187,1451,610.822751
540.143253,1451,616.872081
569.818335,1451,626.180476
621.059121,1451,635.858125
859.347403,1451,642.139045
894.681128,1451,651.832052
664.432544,1451,661.536374
475.701348,1451,667.532567
695.057634,1451,676.874304
568.379313,1451,686.487614
503.594184,1451,696.074059
707.282432,1451,702.095956
625.788307,1451,711.859822
672.651915,1451,721.285058
605.908184,1451,727.354569
623.178809,1451,736.951573
654.371129,1451,746.470485
888.329667,1451,755.936346
748.200289,1451,761.76491
766.647779,1451,771.591076
614.355198,1451,781.566811
636.942925,1451,787.592466
375.839706,1451,797.3833
729.327063,1451,806.932346
490.717448,1451,816.730036
635.260312,1451,822.791133
484.999061,1451,832.554228
498.168978,1451,842.155748
680.850281,1451,847.738746
743.700743,1451,857.545623
716.950453,1451,867.305875
456.487813,1451,873.374978
706.975306,1451,883.149935
591.54215,1451,892.784149
482.611291,1451,902.225408
521.104941,1451,907.876678
600.81743,1451,917.702319
701.366366,1451,927.436783
668.880303,1451,933.092609
842.953936,1451,943.032191
624.971967,1451,952.922159
732.936454,1451,962.479775
434.088698,1451,968.176806
640.389047,1451,977.632736
792.394382,1451,987.479928
591.842653,1451,992.967415
530.494098,1451,1002.692747
616.079774,1451,1012.148111
637.61971,1451,1021.591751
461.544991,1451,1027.377166
526.733053,1451,1037.066721
576.450102,1451,1046.405302
682.067559,1451,1052.451512
561.017082,1451,1062.23923
603.546334,1451,1071.921057
532.94343,1451,1077.613654
652.094698,1451,1087.545525
519.642725,1451,1097.292965
688.489561,1451,1107.003538
646.218494,1451,1112.759635
390.070906,1451,1122.449142
722.165301,1451,1131.959146
630.611567,1451,1137.946926
602.457373,1451,1147.535637
529.292706,1451,1157.217409
642.869598,1451,1166.635848
764.233363,1451,1172.725234
859.708533,1451,1182.666685
585.500109,1451,1192.251866
563.527822,1451,1198.101508
535.702644,1451,1207.772121
744.6007,1451,1217.156318
491.858328,1451,1226.632404
558.199976,1451,1232.828472
739.645743,1451,1242.469759
366.514603,1451,1252.141645
590.122857,1451,1258.251234
574.115204,1451,1267.883586
530.667361,1451,1277.305335
621.105737,1451,1283.324959
823.279032,1451,1293.048918
737.68932,1451,1302.602691
470.992613,1451,1312.247883
635.204658,1451,1318.442484
556.390128,1451,1328.058445
689.40967,1451,1337.734874
484.78078,1451,1343.865497
616.696881,1451,1353.669543
700.465554,1451,1363.083235
502.069008,1451,1372.527277
647.815677,1451,1378.90492
681.703606,1451,1388.591634
630.35922,1451,1397.911553
799.262526,1451,1404.19907
624.974599,1451,1414.009251
649.168082,1451,1423.410796
703.234744,1451,1433.151095
673.07946,1451,1439.418046
414.513953,1451,1449.109028
522.523505,1451,1458.449417
523.089616,1451,1464.684832
756.75246,1451,1474.538511
